X,Y,fid,GEOID,NAME,UATYPE,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,Tmax1,icon_url
-80.196358,35.369088,"33","982","Albemarle, NC Urban Cluster",C,"44466745","63396",17.169,0.024,35.369088,-80.196358,28.4866962432861,./0.png
-93.373855,43.654568,"34","1009","Albert Lea, MN Urban Cluster",C,"25489329","1395987",9.841,0.539,43.654568,-93.373855,8.3347635269165,./0.png
-86.22354,34.268058,"35","1036","Albertville, AL Urban Cluster",C,"92828321","5174684",35.841,1.998,34.268058,-86.22354,29.3850536346436,./0.png
-92.8052,41.027014,"36","1063","Albia, IA Urban Cluster",C,"5610339","0",2.166,0,41.027014,-92.8052,13.5210056304932,./0.png
-84.75533,42.252722,"37","1090","Albion, MI Urban Cluster",C,"17101887","135558",6.603,0.052,42.252722,-84.75533,17.5071659088135,./0.png
-78.193603,43.245788,"38","1117","Albion, NY Urban Cluster",C,"7638315","0",2.949,0,43.245788,-78.193603,22.0464782714844,./0.png
-80.355166,41.890344,"39","1144","Albion, PA Urban Cluster",C,"7434019","56074",2.87,0.022,41.890344,-80.355166,26.4216117858887,./0.png
-106.628138,35.143367,"40","1171","Albuquerque, NM Urbanized Area",U,"650723346","8154677",251.246,3.149,35.143367,-106.628138,23.860897064209,./0.png
-80.649268,37.727925,"41","1198","Alderson, WV Urban Cluster",C,"3437394","107288",1.327,0.041,37.727925,-80.649268,29.6643924713135,./0.png
-90.745194,41.198542,"42","1225","Aledo, IL Urban Cluster",C,"5738644","30085",2.216,0.012,41.198542,-90.745194,15.6429233551025,./0.png
-97.647149,32.680976,"43","1232","Aledo, TX Urban Cluster",C,"12139191","163278",4.687,0.063,32.680976,-97.647149,28.3366222381592,./0.png
-85.958004,32.939703,"44","1252","Alexander City, AL Urban Cluster",C,"25156220","65442",9.713,0.025,32.939703,-85.958004,30.5158443450928,./0.png
-92.422992,31.462848,"45","1279","Alexandria, LA Urbanized Area",U,"169611448","904519",65.487,0.349,31.462848,-92.422992,30.6205520629883,./0.png
-95.3683,45.900999,"46","1306","Alexandria, MN Urban Cluster",C,"38396127","7476290",14.825,2.887,45.900999,-95.3683,6.77002859115601,./0.png
-77.784266,42.256634,"47","1333","Alfred, NY Urban Cluster",C,"3117022","0",1.203,0,42.256634,-77.784266,22.4402275085449,./0.png
-87.444363,44.607208,"48","1360","Algoma, WI Urban Cluster",C,"4746973","106289",1.833,0.041,44.607208,-87.444363,5.520179271698,./0.png
-94.228677,43.072716,"49","1387","Algona, IA Urban Cluster",C,"6887318","16085",2.659,0.006,43.072716,-94.228677,8.90231800079346,./0.png
-98.075031,27.7524,"50","1414","Alice, TX Urban Cluster",C,"28171291","0",10.877,0,27.7524,-98.075031,29.6794910430908,./0.png
-85.849978,42.530023,"51","1441","Allegan, MI Urban Cluster",C,"12209395","147540",4.714,0.057,42.530023,-85.849978,14.5067567825317,./0.png
-81.311258,33.008841,"52","1468","Allendale, SC Urban Cluster",C,"5948733","0",2.297,0,33.008841,-81.311258,29.2906970977783,./0.png
-75.441903,40.651207,"53","1495","Allentown, PA--NJ Urbanized Area",U,"896591063","10687923",346.176,4.127,40.651207,-75.441903,14.6553955078125,./0.png
-102.87402,42.100596,"54","1522","Alliance, NE Urban Cluster",C,"12077338","31691",4.663,0.012,42.100596,-102.87402,5.98028516769409,./0.png
-81.09674,40.914526,"55","1549","Alliance, OH Urban Cluster",C,"45952624","276796",17.742,0.107,40.914526,-81.09674,28.9416809082031,./0.png
-82.469694,31.541885,"56","1603","Alma, GA Urban Cluster",C,"7409524","263250",2.861,0.102,31.541885,-82.469694,31.4150333404541,./0.png
-84.641499,43.390674,"57","1630","Alma--St. Louis, MI Urban Cluster",C,"19248680","401864",7.432,0.155,43.390674,-84.641499,12.55784034729,./0.png
-83.043475,42.920939,"58","1657","Almont, MI Urban Cluster",C,"3627338","0",1.401,0,42.920939,-83.043475,19.4723987579346,./0.png
-83.453033,45.063072,"59","1684","Alpena, MI Urban Cluster",C,"24395070","1830884",9.419,0.707,45.063072,-83.453033,5.55244636535645,./0.png
-103.664632,30.358305,"60","1711","Alpine, TX Urban Cluster",C,"10814928","335",4.176,0,30.358305,-103.664632,30.3557567596436,./0.png
-79.294132,37.113627,"61","1738","Altavista, VA Urban Cluster",C,"14409084","122187",5.563,0.047,37.113627,-79.294132,29.5780982971191,./0.png
-90.128014,38.897792,"62","1765","Alton, IL--MO Urbanized Area",U,"142052251","1913840",54.847,0.739,38.897792,-90.128014,22.4573020935059,./0.png
-78.393865,40.485263,"63","1792","Altoona, PA Urbanized Area",U,"96869930","164785",37.402,0.064,40.485263,-78.393865,18.0932769775391,./0.png
-120.546287,41.489183,"64","1819","Alturas, CA Urban Cluster",C,"4933312","16517",1.905,0.006,41.489183,-120.546287,16.1486282348633,./0.png
-99.310867,34.652723,"65","1846","Altus, OK Urban Cluster",C,"31488097","521227",12.158,0.201,34.652723,-99.310867,25.6918659210205,./0.png
-98.664669,36.801096,"66","1873","Alva, OK Urban Cluster",C,"6803003","0",2.627,0,36.801096,-98.664669,16.3357162475586,./0.png
-97.216759,32.412725,"67","1900","Alvarado, TX Urban Cluster",C,"7362427","19915",2.843,0.008,32.412725,-97.216759,27.8365592956543,./0.png
-101.849137,35.197528,"68","1927","Amarillo, TX Urbanized Area",U,"210824553","1121377",81.4,0.433,35.197528,-101.849137,27.7442302703857,./0.png
-112.853156,42.782372,"69","1981","American Falls, ID Urban Cluster",C,"3699797","0",1.428,0,42.782372,-112.853156,11.3272495269775,./0.png
-84.229191,32.072568,"70","2008","Americus, GA Urban Cluster",C,"31468464","139046",12.15,0.054,32.072568,-84.229191,30.5823612213135,./0.png
-92.364724,45.30657,"71","2035","Amery, WI Urban Cluster",C,"5343408","1111969",2.063,0.429,45.30657,-92.364724,6.73059797286987,./0.png
-93.633762,42.031216,"72","2062","Ames, IA Urbanized Area",U,"59801206","465814",23.089,0.18,42.031216,-93.633762,11.7486886978149,./0.png
-90.5208,30.733723,"73","2116","Amite City, LA Urban Cluster",C,"18158237","40581",7.011,0.016,30.733723,-90.5208,30.8748226165771,./0.png
-88.48001,33.984789,"74","2143","Amory, MS Urban Cluster",C,"14384769","27224",5.554,0.011,33.984789,-88.48001,28.6615886688232,./0.png
-170.589772,-14.26556,"75","2153","Amouli, AS Urban Cluster",C,"12119253","0",4.679,0,-14.26556,-170.589772,,./0.png
-74.19505,42.953149,"76","2170","Amsterdam, NY Urban Cluster",C,"26865160","773995",10.373,0.299,42.953149,-74.19505,11.1341342926025,./0.png
-112.956918,46.130922,"77","2197","Anaconda-Deer Lodge County, MT Urban Cluster",C,"6196633","0",2.393,0,46.130922,-112.956918,10.6073503494263,./0.png
-122.628592,48.48661,"78","2224","Anacortes, WA Urban Cluster",C,"24575119","590029",9.489,0.228,48.48661,-122.628592,16.2318687438965,./0.png
-98.241229,35.071385,"79","2251","Anadarko, OK Urban Cluster",C,"6280063","0",2.425,0,35.071385,-98.241229,24.0466003417969,./0.png
-91.276045,42.110072,"80","2278","Anamosa, IA Urban Cluster",C,"5458867","0",2.108,0,42.110072,-91.276045,12.3857192993164,./0.png
-149.847166,61.167916,"81","2305","Anchorage, AK Urbanized Area",U,"220119016","2653412",84.988,1.024,61.167916,-149.847166,,./0.png
-149.556602,61.362078,"82","2332","Anchorage Northeast, AK Urban Cluster",C,"42360216","348417",16.355,0.135,61.362078,-149.556602,,./0.png
-86.479556,31.311564,"83","2359","Andalusia, AL Urban Cluster",C,"14926867","32462",5.763,0.013,31.311564,-86.479556,31.3821487426758,./0.png
-85.679816,40.088751,"84","2386","Anderson, IN Urbanized Area",U,"171110167","749707",66.066,0.289,40.088751,-85.679816,23.9411678314209,./0.png
-82.660933,34.520711,"85","2413","Anderson, SC Urbanized Area",U,"191929850","3276233",74.105,1.265,34.520711,-82.660933,27.5992469787598,./0.png
-79.562021,33.450931,"86","2440","Andrews, SC Urban Cluster",C,"7781114","0",3.004,0,33.450931,-79.562021,28.5674419403076,./0.png
-102.546505,32.320646,"87","2467","Andrews, TX Urban Cluster",C,"16189562","30529",6.251,0.012,32.320646,-102.546505,30.4231739044189,./0.png
-120.551042,38.074409,"88","2494","Angels, CA Urban Cluster",C,"6902233","23585",2.665,0.009,38.074409,-120.551042,21.5867938995361,./0.png
-85.016736,41.661024,"89","2548","Angola, IN Urban Cluster",C,"23646957","3913803",9.13,1.511,41.661024,-85.016736,20.6017017364502,./0.png
-89.251143,37.460138,"90","2575","Anna, IL Urban Cluster",C,"10315625","47210",3.983,0.018,37.460138,-89.251143,22.8825607299805,./0.png
-96.563619,33.37908,"91","2581","Anna, TX Urban Cluster",C,"18103768","14418",6.99,0.006,33.37908,-96.563619,25.2793483734131,./0.png
-94.121311,45.260115,"92","2590","Annandale, MN Urban Cluster",C,"6952104","0",2.684,0,45.260115,-94.121311,7.17244815826416,./0.png
-83.662679,42.240003,"93","2602","Ann Arbor, MI Urbanized Area",U,"413298972","13523824",159.576,5.222,42.240003,-83.662679,21.5265026092529,./0.png
-85.828795,33.664398,"94","2629","Anniston--Oxford, AL Urbanized Area",U,"224750432","1461279",86.777,0.564,33.664398,-85.828795,30.2865619659424,./0.png
-89.153197,45.142639,"95","2656","Antigo, WI Urban Cluster",C,"10801703","84336",4.171,0.033,45.142639,-89.153197,4.50223207473755,./0.png
-121.78212,37.991687,"96","2683","Antioch, CA Urbanized Area",U,"209027853","3296203",80.706,1.273,37.991687,-121.78212,23.9831695556641,./0.png
-84.909118,29.751831,"97","2710","Apalachicola, FL Urban Cluster",C,"7244106","15809621",2.797,6.104,29.751831,-84.909118,28.4784832000732,./0.png
-88.411096,44.24668,"98","2764","Appleton, WI Urbanized Area",U,"268668822","10747316",103.734,4.15,44.24668,-88.411096,6.73135185241699,./0.png
-82.34901,40.438206,"99","2773","Apple Valley, OH Urban Cluster",C,"12285980","2046679",4.744,0.79,40.438206,-82.34901,27.1754150390625,./0.png
-86.503725,34.342074,"100","2791","Arab, AL Urban Cluster",C,"21701758","301947",8.379,0.117,34.342074,-86.503725,29.1405963897705,./0.png
-122.060221,39.016726,"101","2825","Arbuckle, CA Urban Cluster",C,"1871310","0",0.723,0,39.016726,-122.060221,25.1606464385986,./0.png
-78.466924,42.534572,"102","2845","Arcade, NY Urban Cluster",C,"6117049","0",2.362,0,42.534572,-78.466924,23.907283782959,./0.png
-92.923763,32.552383,"103","2899","Arcadia, LA Urban Cluster",C,"7054369","0",2.724,0,32.552383,-92.923763,28.6477165222168,./0.png
-91.490931,44.249691,"104","2901","Arcadia, WI Urban Cluster",C,"5467555","0",2.111,0,44.249691,-91.490931,9.59830665588379,./0.png
-81.852437,27.213341,"105","2912","Arcadia--Southeast Arcadia, FL Urban Cluster",C,"26183670","15770",10.11,0.006,27.213341,-81.852437,30.9877414703369,./0.png
-124.089324,40.914605,"106","2926","Arcata--McKinleyville, CA Urban Cluster",C,"42690333","250755",16.483,0.097,40.914605,-124.089324,16.6796760559082,./0.png
-84.294163,41.52504,"107","2953","Archbold, OH Urban Cluster",C,"9801479","37920",3.784,0.015,41.52504,-84.294163,20.6851577758789,./0.png
-78.365612,35.668818,"108","2965","Archer Lodge--Clayton, NC Urban Cluster",C,"52270800","474780",20.182,0.183,35.668818,-78.365612,29.6227684020996,./0.png
-88.302758,39.684596,"109","2980","Arcola, IL Urban Cluster",C,"3476399","44848",1.342,0.017,39.684596,-88.302758,22.4161682128906,./0.png
-97.14166,34.178548,"110","3007","Ardmore, OK Urban Cluster",C,"30245714","76559",11.678,0.03,34.178548,-97.14166,22.8737773895264,./0.png
-66.807974,18.454601,"111","3034","Arecibo, PR Urbanized Area",U,"217708135","1543862",84.058,0.596,18.454601,-66.807974,,./0.png
-111.673175,32.749832,"112","3088","Arizona City, AZ Urban Cluster",C,"12138549","198208",4.687,0.077,32.749832,-111.673175,28.2680549621582,./0.png
-93.067849,34.124479,"113","3115","Arkadelphia, AR Urban Cluster",C,"14924018","0",5.762,0,34.124479,-93.067849,25.1428737640381,./0.png
-97.034648,37.060526,"114","3142","Arkansas City, KS Urban Cluster",C,"24895105","143725",9.612,0.055,37.060526,-97.034648,20.0373077392578,./0.png
-89.662685,35.280006,"115","3158","Arlington, TN Urban Cluster",C,"20075102","88142",7.751,0.034,35.280006,-89.662685,25.144401550293,./0.png
-120.60761,35.118449,"116","3196","Arroyo Grande--Grover Beach, CA Urbanized Area",U,"59632915","233074",23.024,0.09,35.118449,-120.60761,20.0542068481445,./0.png
-104.414485,32.837488,"117","3223","Artesia, NM Urban Cluster",C,"16868337","10805",6.513,0.004,32.837488,-104.414485,30.3663883209229,./0.png
-118.832555,35.203012,"118","3250","Arvin, CA Urban Cluster",C,"11204964","0",4.326,0,35.203012,-118.832555,22.0595550537109,./0.png
-83.650095,31.700813,"119","3277","Ashburn, GA Urban Cluster",C,"8218613","63594",3.173,0.025,31.700813,-83.650095,30.8785381317139,./0.png
-94.125848,33.67945,"120","3304","Ashdown, AR Urban Cluster",C,"9400106","0",3.629,0,33.67945,-94.125848,25.6490840911865,./0.png
-79.804246,35.731299,"121","3331","Asheboro, NC Urban Cluster",C,"85270639","197574",32.923,0.076,35.731299,-79.804246,28.4866962432861,./0.png
-82.664164,35.537101,"122","3358","Asheville, NC Urbanized Area",U,"686036520","6252198",264.88,2.414,35.537101,-82.664164,26.5398559570313,./0.png
-92.259132,38.771524,"123","3365","Ashland, MO Urban Cluster",C,"4721292","0",1.823,0,38.771524,-92.259132,22.3928909301758,./0.png
-96.364131,41.041145,"124","3375","Ashland, NE Urban Cluster",C,"3232693","66446",1.248,0.026,41.041145,-96.364131,10.7997007369995,./0.png
-82.317007,40.863589,"125","3385","Ashland, OH Urban Cluster",C,"20736510","49269",8.006,0.019,40.863589,-82.317007,26.3812656402588,./0.png
-76.356232,40.78415,"126","3395","Ashland, PA Urban Cluster",C,"14644942","0",5.654,0,40.78415,-76.356232,15.7500038146973,./0.png
-90.881298,46.578646,"127","3412","Ashland, WI Urban Cluster",C,"11167661","5410",4.312,0.002,46.578646,-90.881298,3.60644125938416,./0.png
-87.067035,36.27384,"128","3439","Ashland City, TN Urban Cluster",C,"8170373","0",3.155,0,36.27384,-87.067035,27.8598232269287,./0.png
-80.78496,41.877017,"129","3466","Ashtabula, OH Urban Cluster",C,"56393843","403383",21.774,0.156,41.877017,-80.78496,25.8573246002197,./0.png
-82.967112,39.718518,"130","3493","Ashville, OH Urban Cluster",C,"13965053","534661",5.392,0.206,39.718518,-82.967112,28.5982112884521,./0.png
-106.840283,39.199278,"131","3520","Aspen, CO Urban Cluster",C,"11838628","0",4.571,0,39.199278,-106.840283,5.1504168510437,./0.png
-123.860648,46.183825,"132","3547","Astoria, OR Urban Cluster",C,"23579494","1641822",9.104,0.634,46.183825,-123.860648,13.9338216781616,./0.png
-95.137251,39.570588,"133","3601","Atchison, KS--MO Urban Cluster",C,"15614152","160893",6.029,0.062,39.570588,-95.137251,16.1307640075684,./0.png
-86.952175,34.811825,"134","3655","Athens, AL Urban Cluster",C,"69988371","501547",27.023,0.194,34.811825,-86.952175,27.7149791717529,./0.png
-82.111599,39.327239,"135","3682","Athens, OH Urban Cluster",C,"25728993","260343",9.934,0.101,39.327239,-82.111599,29.5744400024414,./0.png
-84.600203,35.448059,"136","3709","Athens, TN Urban Cluster",C,"38397480","0",14.825,0,35.448059,-84.600203,29.0665302276611,./0.png
-95.847373,32.201604,"137","3736","Athens, TX Urban Cluster",C,"23896494","64685",9.226,0.025,32.201604,-95.847373,28.6788711547852,./0.png
-83.398272,33.942089,"138","3763","Athens-Clarke County, GA Urbanized Area",U,"254876564","2525300",98.408,0.975,33.942089,-83.398272,27.3716773986816,./0.png
-72.239703,42.592843,"139","3790","Athol, MA Urban Cluster",C,"24221424","1053681",9.352,0.407,42.592843,-72.239703,13.0711517333984,./0.png
-84.331858,33.824102,"140","3817","Atlanta, GA Urbanized Area",U,"6851581056","93257528",2645.41,36.007,33.824102,-84.331858,28.2701187133789,./0.png
-94.167911,33.125525,"141","3844","Atlanta, TX Urban Cluster",C,"19351984","101572",7.472,0.039,33.125525,-94.167911,27.5343685150146,./0.png
-95.006333,41.398446,"142","3871","Atlantic, IA Urban Cluster",C,"7272977","101142",2.808,0.039,41.398446,-95.006333,11.4882507324219,./0.png
-74.590455,39.371191,"143","3898","Atlantic City, NJ Urbanized Area",U,"325926586","11772148",125.841,4.545,39.371191,-74.590455,14.8130893707275,./0.png
-87.487418,31.021931,"144","3925","Atmore, AL Urban Cluster",C,"12225383","40082",4.72,0.015,31.021931,-87.487418,30.4389343261719,./0.png
-89.802353,35.429563,"145","3957","Atoka, TN Urban Cluster",C,"53461703","204592",20.642,0.079,35.429563,-89.802353,24.2316093444824,./0.png
-87.269893,40.29083,"146","3979","Attica, IN Urban Cluster",C,"10137000","85101",3.914,0.033,40.29083,-87.269893,22.3091011047363,./0.png
-78.271755,42.873711,"147","4006","Attica, NY Urban Cluster",C,"5831427","0",2.252,0,42.873711,-78.271755,23.0379905700684,./0.png
-96.989684,33.288094,"148","4021","Aubrey, TX Urban Cluster",C,"6098799","2579",2.355,0.001,33.288094,-96.989684,25.4162864685059,./0.png
-85.443932,32.614294,"149","4033","Auburn, AL Urbanized Area",U,"129258408","875942",49.907,0.338,32.614294,-85.443932,30.2055053710938,./0.png
-89.749542,39.590007,"150","4054","Auburn, IL Urban Cluster",C,"5214352","0",2.013,0,39.590007,-89.749542,22.5821685791016,./0.png
-85.07077,41.369653,"151","4060","Auburn, IN Urban Cluster",C,"30221649","0",11.669,0,41.369653,-85.07077,20.6017017364502,./0.png
-95.843424,40.38848,"152","4087","Auburn, NE Urban Cluster",C,"5204597","0",2.01,0,40.38848,-95.843424,12.2025985717773,./0.png
-76.561994,42.926811,"153","4114","Auburn, NY Urban Cluster",C,"33428845","239530",12.907,0.092,42.926811,-76.561994,16.9222106933594,./0.png
-121.079665,38.932512,"154","4130","Auburn--North Auburn, CA Urban Cluster",C,"69199033","261127",26.718,0.101,38.932512,-121.079665,21.6485424041748,./0.png
-96.973193,37.69194,"155","4168","Augusta, KS Urban Cluster",C,"10633843","690960",4.106,0.267,37.69194,-96.973193,17.4849834442139,./0.png
-69.782274,44.265201,"156","4195","Augusta, ME Urban Cluster",C,"44884332","724961",17.33,0.28,44.265201,-69.782274,14.5072183609009,./0.png
-81.996378,33.487951,"157","4222","Augusta-Richmond County, GA--SC Urbanized Area",U,"672428339","6866348",259.626,2.651,33.487951,-81.996378,30.5463809967041,./0.png
-122.866978,44.845016,"158","4249","Aumsville, OR Urban Cluster",C,"2979867","0",1.151,0,44.845016,-122.866978,19.2085456848145,./0.png
-93.730413,36.967117,"159","4276","Aurora, MO Urban Cluster",C,"15212084","39864",5.873,0.015,36.967117,-93.730413,24.6690940856934,./0.png
-98.003674,40.867831,"160","4303","Aurora, NE Urban Cluster",C,"5464042","14529",2.11,0.006,40.867831,-98.003674,9.00380706787109,./0.png
-83.346783,44.45283,"161","4330","Au Sable, MI Urban Cluster",C,"27106174","628627",10.466,0.243,44.45283,-83.346783,6.06963348388672,./0.png
-92.977883,43.671232,"162","4357","Austin, MN Urban Cluster",C,"31664344","254097",12.226,0.098,43.671232,-92.977883,8.45695781707764,./0.png
-97.761533,30.358514,"163","4384","Austin, TX Urbanized Area",U,"1355730320","10907397",523.45,4.211,30.358514,-97.761533,26.5497665405273,./0.png
-92.661589,36.954458,"164","4411","Ava, MO Urban Cluster",C,"5412263","1126",2.09,0,36.954458,-92.661589,23.5951080322266,./0.png
-118.328742,33.341575,"165","4438","Avalon, CA Urban Cluster",C,"3424239","0",1.322,0,33.341575,-118.328742,16.3471088409424,./0.png
-120.126356,35.993168,"166","4465","Avenal, CA Urban Cluster",C,"7912977","0",3.055,0,35.993168,-120.126356,24.0405120849609,./0.png
-77.741633,42.899102,"167","4519","Avon, NY Urban Cluster",C,"10085520","0",3.894,0,42.899102,-77.741633,20.2125110626221,./0.png
-112.399026,33.472717,"168","4549","Avondale--Goodyear, AZ Urbanized Area",U,"227213997","833471",87.728,0.322,33.472717,-112.399026,28.4807472229004,./0.png
-111.326681,32.42773,"169","4573","Avra Valley, AZ Urban Cluster",C,"10127104","0",3.91,0,32.42773,-111.326681,28.2680549621582,./0.png
-107.996013,36.833998,"170","4587","Aztec, NM Urban Cluster",C,"16350155","307858",6.313,0.119,36.833998,-107.996013,14.9410123825073,./0.png
-82.997958,43.802505,"171","4600","Bad Axe, MI Urban Cluster",C,"6467525","0",2.497,0,43.802505,-82.997958,13.3692493438721,./0.png
-84.564687,30.90486,"172","4627","Bainbridge, GA Urban Cluster",C,"26713205","650992",10.314,0.251,30.90486,-84.564687,31.1063861846924,./0.png
-117.82877,44.783476,"173","4654","Baker City, OR Urban Cluster",C,"13005431","178981",5.021,0.069,44.783476,-117.82877,14.797945022583,./0.png
-119.030559,35.362282,"174","4681","Bakersfield, CA Urbanized Area",U,"358494016","2308944",138.415,0.891,35.362282,-119.030559,24.9245872497559,./0.png
-91.574315,35.31222,"175","4708","Bald Knob, AR Urban Cluster",C,"5965948","0",2.303,0,35.31222,-91.574315,23.7946834564209,./0.png
-92.428301,44.975947,"176","4762","Baldwin, WI Urban Cluster",C,"9560855","0",3.691,0,44.975947,-92.428301,7.05667161941528,./0.png
-95.18748,38.777506,"177","4789","Baldwin City, KS Urban Cluster",C,"5321139","4437",2.055,0.002,38.777506,-95.18748,17.0385284423828,./0.png
-99.9558,31.742187,"178","4816","Ballinger, TX Urban Cluster",C,"5219154","0",2.015,0,31.742187,-99.9558,28.406795501709,./0.png
-76.64776,39.234099,"179","4843","Baltimore, MD Urbanized Area",U,"1856864888","65405866",716.94,25.253,39.234099,-76.64776,19.4790554046631,./0.png
-82.587277,39.843837,"180","4870","Baltimore, OH Urban Cluster",C,"6950422","0",2.684,0,39.843837,-82.587277,28.2120342254639,./0.png
-81.029974,33.298561,"181","4897","Bamberg, SC Urban Cluster",C,"7237564","0",2.794,0,33.298561,-81.029974,30.3115100860596,./0.png
-124.415518,43.113779,"182","4924","Bandon, OR Urban Cluster",C,"5707449","7562",2.204,0.003,43.113779,-124.415518,14.5899324417114,./0.png
-68.746629,44.835625,"183","4951","Bangor, ME Urbanized Area",U,"109693177","3813324",42.353,1.472,44.835625,-68.746629,14.0424585342407,./0.png
-89.748766,43.46854,"184","5005","Baraboo, WI Urban Cluster",C,"16112926","186870",6.221,0.072,43.46854,-89.748766,8.73105716705322,./0.png
-83.855348,36.860165,"185","5032","Barbourville, KY Urban Cluster",C,"13086859","158660",5.053,0.061,36.860165,-83.855348,28.3221187591553,./0.png
-85.466,37.835762,"186","5059","Bardstown, KY Urban Cluster",C,"44048018","384158",17.007,0.148,37.835762,-85.466,28.479944229126,./0.png
-68.221833,44.392257,"187","5086","Bar Harbor, ME Urban Cluster",C,"4381189","0",1.692,0,44.392257,-68.221833,14.2689428329468,./0.png
